Sample	Region	StartPos	EndPos	Length	Missing_Sites	Median_Cov	Mean_Cov	Min_Cov	Max_Cov	Genome_Norm_Cov	cov1x.perc	cov5x.perc	cov8x.perc	cov20x.perc	cov100x.perc	cov250x.perc	bam.mapped.filt.readcount
TP_Discriminatory_SA1_20230426_barcode02.filt	all_60	214607	215180	574	0	50	49.6	21	52	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_61	230092	230674	583	0	76	74.5	43	77	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_63	244634	245242	609	0	79	78.2	49	81	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_64	253222	253807	586	0	77	76.3	21	79	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_65	254023	254580	558	0	90	88.9	42	92	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_66	264813	265404	592	0	159	157.2	96	163	inf	100	100	100	100	99.7	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_67	270955	271505	551	198	1	0.6	0	1	inf	64.1	0	0	0	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_68	311821	312449	629	0	82	80.9	28	86	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_69	321507	322061	555	0	121	119.3	59	125	inf	100	100	100	100	96.6	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_71	367685	368238	554	0	9	8.8	5	9	inf	100	100	97.1	0	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_72	372296	372861	566	0	186	183	100	191	inf	100	100	100	100	100	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_72	372296	372861	566	0	186	183	100	191	inf	100	100	100	100	100	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_73	375373	375947	575	0	86	85.2	42	90	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_5	415556	416117	562	0	55	54.7	36	57	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_6	453934	454454	521	0	168	165.5	85	172	inf	100	100	100	100	99.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_7	460040	460586	547	0	164	161.4	97	168	inf	100	100	100	100	99.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_8	489164	489713	550	0	105	104.1	43	109	inf	100	100	100	100	90.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_9	500506	501028	523	0	133	131.8	58	137	inf	100	100	100	100	99.2	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_10	507770	508318	549	0	158	156.6	76	163	inf	100	100	100	100	99.6	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_11	513029	513561	533	0	128	126.4	89	131	inf	100	100	100	100	98.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_12	528510	529114	605	0	102	100.9	70	106	inf	100	100	100	100	76	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_13	547326	547880	555	0	146	144.6	83	150	inf	100	100	100	100	98.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_14	574423	574940	518	0	127	124.6	60	132	inf	100	100	100	100	98.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_15	582766	583313	548	0	181	178.6	105	186	inf	100	100	100	100	100	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_16	591759	592367	609	0	53	52.8	26	56	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_18	619683	620216	534	0	141	140	47	148	inf	100	100	100	100	98.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_19	623085	623665	581	0	124	122.2	80	127	inf	100	100	100	100	99.1	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_20	648944	649488	545	0	35	34.1	17	36	inf	100	100	100	99.6	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_21	656560	657094	535	0	116	115.1	77	120	inf	100	100	100	100	97.6	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_22	669846	670421	576	0	96	95.1	36	99	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_23	670741	671254	514	0	123	121.6	51	127	inf	100	100	100	100	98.6	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_24	708212	708839	628	0	96	95	47	101	inf	100	100	100	100	15.3	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_26	772599	773181	583	0	63	62	38	65	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_3	779846	780414	569	0	103	101.8	75	105	inf	100	100	100	100	83.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_28	858336	858868	533	0	108	107.2	59	112	inf	100	100	100	100	94.9	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_29	873851	874386	536	0	147	145.7	63	151	inf	100	100	100	100	99.8	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_30	884017	884575	559	0	116	114.9	63	120	inf	100	100	100	100	98	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_4	887018	887607	590	0	85	84.5	43	87	inf	100	100	100	100	0	0	7522
TP_Discriminatory_SA1_20230426_barcode02.filt	all_31	890076	890674	599	0	102	101	59	107	inf	100	100	100	100	77.8	0	7522
