"Accession","cluster_limited"
"SRR8559652","Other"
"SRR8559653","Other"
"SRR8559646","15"
"SRR8559375","Other"
"SRR8559233","Other"
"SRR8559232","15"
"SRR8559231","15"
"SRR8559230","15"
"SRR8559237","23"
"SRR8559236","50"
"SRR8559235","16"
"SRR8559234","23"
"SRR8559225","11"
"SRR8559224","Other"
"SRR8559565","26"
"SRR8559566","16"
"SRR8559563","2"
"SRR8559564","38"
"SRR8559569","Other"
"SRR8559570","15"
"SRR8559670","15"
"SRR8559671","1"
"SRR8559674","Other"
"SRR8559680","93"
"SRR8559817","15"
"SRR8559816","15"
"SRR8559819","1"
"SRR8559818","1"
"SRR8559821","44"
"SRR8559820","23"
"SRR8559823","15"
"SRR8559822","Other"
"SRR8559825","26"
"SRR8559824","1"
"SRR8559647","Other"
"SRR8559372","93"
"SRR8559649","Other"
"SRR8559648","Other"
"SRR8559643","Other"
"SRR8559642","Other"
"SRR8559645","26"
"SRR8559644","77"
"SRR8559386","67"
"SRR8559385","1"
"SRR8559860","33"
"SRR8559861","1"
"SRR8559858","35"
"SRR8559859","26"
"SRR8559856","Other"
"SRR8559857","26"
"SRR8559854","21"
"SRR8559855","21"
"SRR8559862","Other"
"SRR8559863","Other"
"SRR8559338","1"
"SRR8559337","38"
"SRR8559336","Other"
"SRR8559335","15"
"SRR8559342","1"
"SRR8559341","23"
"SRR8559340","Other"
"SRR8559339","3"
"SRR8559330","15"
"SRR8559329","96"
"SRR8559794","38"
"SRR8559795","1"
"SRR8559796","Other"
"SRR8559797","26"
"SRR8559790","Other"
"SRR8559411","96"
"SRR8559222","Other"
"SRR8559223","21"
"SRR8559798","15"
"SRR8559804","21"
"SRR8559227","77"
"SRR8559228","23"
"SRR8559229","38"
"SRR8559814","77"
"SRR8559815","26"
"SRR8559195","38"
"SRR8559194","21"
"SRR8559197","15"
"SRR8559196","3"
"SRR8559191","Other"
"SRR8559190","26"
"SRR8559791","1"
"SRR8559792","15"
"SRR8559793","Other"
"SRR8559786","77"
"SRR8559787","38"
"SRR8559756","96"
"SRR8559755","93"
"SRR8559758","26"
"SRR8559757","96"
"SRR8559760","38"
"SRR8559759","77"
"SRR8559762","146"
"SRR8559761","Other"
"SRR8559753","14"
"SRR8559752","Other"
"SRR8559963","23"
"SRR8559964","Other"
"SRR8559961","67"
"SRR8559962","Other"
"SRR8559967","23"
"SRR8559968","23"
"SRR8559965","14"
"SRR8559966","38"
"SRR8559955","Other"
"SRR8559956","Other"
"SRR8559420","33"
"SRR8559419","Other"
"SRR8559418","14"
"SRR8559874","Other"
"SRR8559415","Other"
"SRR8559414","33"
"SRR8559413","Other"
"SRR8559412","33"
"SRR8559226","77"
"SRR8559193","21"
"SRR8559192","155"
"SRR8559189","93"
"SRR8559188","11"
"SRR8559609","Other"
"SRR8559610","1"
"SRR8559607","16"
"SRR8559608","Other"
"SRR8559605","Other"
"SRR8559606","Other"
"SRR8559603","38"
"SRR8559604","26"
"SRR8559601","38"
"SRR8559602","27"
"SRR8559244","23"
"SRR8559245","Other"
"SRR8559246","33"
"SRR8559247","23"
"SRR8559240","1"
"SRR8559241","23"
"SRR8559242","1"
"SRR8559243","159"
"SRR8559238","23"
"SRR8559239","38"
"SRR8559442","23"
"SRR8559441","15"
"SRR8559440","1"
"SRR8559439","11"
"SRR8559446","38"
"SRR8559710","23"
"SRR8559444","15"
"SRR8559443","1"
"SRR8559438","14"
"SRR8559437","23"
"SRR8559529","Other"
"SRR8559530","1"
"SRR8559527","3"
"SRR8559528","Other"
"SRR8559525","Other"
"SRR8559526","Other"
"SRR8559523","Other"
"SRR8559524","Other"
"SRR8559531","Other"
"SRR8559532","33"
"SRR8559256","15"
"SRR8559325","38"
"SRR8559789","Other"
"SRR8559788","35"
"SRR8559782","Other"
"SRR8559785","Other"
"SRR8559784","67"
"SRR8559347","Other"
"SRR8559344","96"
"SRR8559327","1"
"SRR8559328","14"
"SRR8559631","77"
"SRR8559754","Other"
"SRR8559331","Other"
"SRR8559332","3"
"SRR8559333","Other"
"SRR8559334","Other"
"SRR8559779","26"
"SRR8559780","1"
"SRR8559853","33"
"SRR8559852","Other"
"SRR8559851","23"
"SRR8559850","14"
"SRR8559849","35"
"SRR8559848","77"
"SRR8559847","3"
"SRR8559846","Other"
"SRR8559845","77"
"SRR8559844","15"
"SRR8559636","Other"
"SRR8559637","3"
"SRR8559634","Other"
"SRR8559635","1"
"SRR8559640","15"
"SRR8559641","14"
"SRR8559638","Other"
"SRR8559639","Other"
"SRR8559632","Other"
"SRR8559633","14"
"SRR8559215","33"
"SRR8559214","Other"
"SRR8559217","67"
"SRR8559216","15"
"SRR8559219","Other"
"SRR8559218","38"
"SRR8559221","23"
"SRR8559220","1"
"SRR8559213","Other"
"SRR8559212","86"
"SRR8559409","Other"
"SRR8559410","23"
"SRR8559950","1"
"SRR8559952","2"
"SRR8559405","1"
"SRR8559406","86"
"SRR8559407","Other"
"SRR8559408","15"
"SRR8559494","Other"
"SRR8559521","Other"
"SRR8559384","180"
"SRR8559383","26"
"SRR8559954","26"
"SRR8559953","1"
"SRR8559960","96"
"SRR8559959","21"
"SRR8559958","Other"
"SRR8559957","Other"
"SRR8559388","Other"
"SRR8559387","Other"
"SRR8559352","15"
"SRR8559351","Other"
"SRR8559350","23"
"SRR8559349","1"
"SRR8559348","14"
"SRR8559200","50"
"SRR8559346","1"
"SRR8559345","1"
"SRR8559354","35"
"SRR8559353","Other"
"SRR8559806","15"
"SRR8559807","Other"
"SRR8559808","21"
"SRR8559809","23"
"SRR8559810","3"
"SRR8559811","15"
"SRR8559812","58"
"SRR8559813","11"
"SRR8559843","1"
"SRR8559799","16"
"SRR8559661","11"
"SRR8559660","Other"
"SRR8559667","38"
"SRR8559666","26"
"SRR8559669","23"
"SRR8559668","1"
"SRR8559870","1"
"SRR8559871","Other"
"SRR8559868","14"
"SRR8559869","Other"
"SRR8559663","1"
"SRR8559662","77"
"SRR8559665","23"
"SRR8559473","Other"
"SRR8559589","77"
"SRR8559875","Other"
"SRR8559872","3"
"SRR8559873","3"
"SRR8559876","1"
"SRR8559877","Other"
"SRR8559272","Other"
"SRR8559271","33"
"SRR8559270","23"
"SRR8559269","1"
"SRR8559276","15"
"SRR8559275","Other"
"SRR8559274","15"
"SRR8559273","26"
"SRR8559279","1"
"SRR8559278","11"
"SRR8559704","Other"
"SRR8559705","15"
"SRR8559706","14"
"SRR8559707","Other"
"SRR8559522","Other"
"SRR8559701","Other"
"SRR8559702","23"
"SRR8559703","23"
"SRR8559708","21"
"SRR8559709","15"
"SRR8559557","Other"
"SRR8559556","77"
"SRR8559559","Other"
"SRR8559558","3"
"SRR8559553","Other"
"SRR8559552","3"
"SRR8559555","14"
"SRR8559554","Other"
"SRR8559549","15"
"SRR8559548","14"
"SRR8559471","1"
"SRR8559472","Other"
"SRR8559469","38"
"SRR8559470","Other"
"SRR8559467","Other"
"SRR8559468","Other"
"SRR8559465","Other"
"SRR8559466","26"
"SRR8559463","93"
"SRR8559464","58"
"SRR8559185","1"
"SRR8559184","Other"
"SRR8559183","15"
"SRR8559182","16"
"SRR8559181","77"
"SRR8559180","16"
"SRR8559179","Other"
"SRR8559178","Other"
"SRR8559177","58"
"SRR8559176","50"
"SRR8559590","Other"
"SRR8559591","15"
"SRR8559592","15"
"SRR8559593","1"
"SRR8559594","15"
"SRR8559595","14"
"SRR8559596","15"
"SRR8559597","14"
"SRR8559598","203"
"SRR8559599","Other"
"SRR8559915","38"
"SRR8559912","14"
"SRR8559913","Other"
"SRR8559910","33"
"SRR8559911","38"
"SRR8559908","Other"
"SRR8559909","4"
"SRR8559906","1"
"SRR8559907","14"
"SRR8559697","35"
"SRR8559699","15"
"SRR8559698","Other"
"SRR8559693","50"
"SRR8559692","Other"
"SRR8559695","33"
"SRR8559691","34"
"SRR8559690","Other"
"SRR8559174","1"
"SRR8559175","33"
"SRR8559781","33"
"SRR8559939","33"
"SRR8559170","21"
"SRR8559171","15"
"SRR8559172","1"
"SRR8559173","Other"
"SRR8559951","Other"
"SRR8559600","Other"
"SRR8559376","Other"
"SRR8559371","15"
"SRR8559373","67"
"SRR8559380","23"
"SRR8559379","33"
"SRR8559378","Other"
"SRR8559377","26"
"SRR8559382","1"
"SRR8559381","23"
"SRR8559546","26"
"SRR8559547","1"
"SRR8559544","Other"
"SRR8559545","Other"
"SRR8559550","77"
"SRR8559551","35"
"SRR8559533","Other"
"SRR8559560","15"
"SRR8559561","Other"
"SRR8559429","Other"
"SRR8559319","58"
"SRR8559801","Other"
"SRR8559800","23"
"SRR8559803","Other"
"SRR8559802","77"
"SRR8559805","26"
"SRR8559432","93"
"SRR8559436","Other"
"SRR8559435","Other"
"SRR8559261","23"
"SRR8559262","Other"
"SRR8559263","Other"
"SRR8559264","Other"
"SRR8559265","38"
"SRR8559266","Other"
"SRR8559267","Other"
"SRR8559268","23"
"SRR8559259","Other"
"SRR8559260","Other"
"SRR8559750","Other"
"SRR8559738","38"
"SRR8559462","21"
"SRR8559461","11"
"SRR8559460","203"
"SRR8559459","15"
"SRR8559458","Other"
"SRR8559457","16"
"SRR8559187","Other"
"SRR8559186","15"
"SRR8559395","16"
"SRR8559396","1"
"SRR8559393","14"
"SRR8559394","15"
"SRR8559864","Other"
"SRR8559866","16"
"SRR8559389","Other"
"SRR8559390","Other"
"SRR8559888","44"
"SRR8559889","38"
"SRR8559321","Other"
"SRR8559320","27"
"SRR8559323","16"
"SRR8559322","2"
"SRR8559315","3"
"SRR8559313","Other"
"SRR8559318","15"
"SRR8559317","Other"
"SRR8559343","Other"
"SRR8559503","1"
"SRR8566623","1"
"SRR8566622","3"
"SRR8566629","230"
"SRR8566628","93"
"SRR8566627","15"
"SRR8566626","23"
"SRR8566631","1"
"SRR8566630","27"
"SRR8567274","14"
"SRR8567273","15"
"SRR8567276","3"
"SRR8567275","Other"
"SRR8567278","14"
"SRR8567277","14"
"SRR8567280","23"
"SRR8567279","203"
"SRR8567282","231"
"SRR8567281","Other"
"SRR8566667","Other"
"SRR8566668","Other"
"SRR8566669","3"
"SRR8566670","34"
"SRR8566663","1"
"SRR8566665","203"
"SRR8566666","Other"
"SRR8566671","Other"
"SRR8566672","58"
"SRR8567116","Other"
"SRR8567115","11"
"SRR8567114","Other"
"SRR8567113","38"
"SRR8567120","22"
"SRR8567119","Other"
"SRR8567118","1"
"SRR8567117","22"
"SRR8567112","93"
"SRR8567111","14"
"SRR8566917","159"
"SRR8566918","Other"
"SRR8566915","26"
"SRR8566916","38"
"SRR8566913","Other"
"SRR8566914","Other"
"SRR8566911","14"
"SRR8566912","23"
"SRR8566909","1"
"SRR8566910","Other"
"SRR8567166","15"
