"Accession","cluster_limited"
"SRR26355544","146"
"SRR26355543","146"
"SRR26355540","Other"
"SRR26355539","180"
"SRR26355538","Other"
"SRR26355377","Other"
"SRR26355376","180"
"SRR26355375","180"
"SRR26355374","180"
"SRR26355373","Other"
"SRR26355372","Other"
"SRR26355371","502"
"SRR26355369","50"
"SRR26355368","616"
"SRR26355367","146"
"SRR26355366","Other"
"SRR26355365","Other"
"SRR26355364","562"
"SRR26355363","575"
"SRR26355362","180"
"SRR26355361","180"
"SRR26355360","180"
"SRR26355358","180"
"SRR26355357","180"
"SRR26355356","180"
"SRR26355355","34"
"SRR26355354","Other"
"SRR26355353","146"
"SRR26355352","180"
"SRR26355351","Other"
"SRR26355350","Other"
"SRR26355349","180"
"SRR26355347","Other"
"SRR26355346","33"
"SRR26355117","Other"
"SRR26355116","551"
"SRR26355115","Other"
"SRR26355114","Other"
"SRR26355113","146"
"SRR26355112","180"
"SRR26355111","Other"
"SRR26355110","26"
"SRR26355108","180"
"SRR26355107","Other"
"SRR26355106","Other"
"SRR26355105","180"
"SRR26355104","146"
"SRR26355103","Other"
"SRR26355102","146"
"SRR26355101","557"
"SRR26355100","33"
"SRR26355099","180"
"SRR26355097","Other"
"SRR26355096","180"
"SRR26355095","Other"
"SRR26355094","551"
"SRR26355093","180"
"SRR26355092","557"
"SRR26355091","Other"
"SRR26355090","575"
"SRR26355089","502"
"SRR26355088","557"
"SRR26355086","Other"
"SRR26354861","Other"
"SRR26354860","Other"
"SRR26354859","Other"
"SRR26354858","180"
"SRR26354857","Other"
"SRR26354856","Other"
"SRR26354855","556"
"SRR26354854","Other"
"SRR26354853","180"
"SRR26354851","34"
"SRR26354850","50"
"SRR26354849","180"
"SRR26354848","Other"
"SRR26354847","180"
"SRR26354846","180"
"SRR26354845","557"
"SRR26354844","Other"
"SRR26354843","180"
"SRR26354842","180"
"SRR26354840","146"
"SRR26354839","616"
"SRR26354838","180"
"SRR26354837","Other"
"SRR26354836","Other"
"SRR26354835","180"
"SRR26354834","Other"
"SRR26354833","146"
"SRR26354832","557"
"SRR26354831","180"
"SRR26355537","146"
"SRR26355536","Other"
"SRR26355535","180"
"SRR26355534","Other"
"SRR26355533","146"
"SRR26355532","146"
"SRR26355531","180"
"SRR26355530","26"
"SRR26355529","146"
"SRR26355528","657"
"SRR26355525","180"
"SRR26355524","50"
"SRR26355523","560"
"SRR26355522","551"
"SRR26355521","180"
"SRR26355520","Other"
"SRR26355519","Other"
"SRR26355518","146"
"SRR26355517","146"
"SRR26355516","231"
"SRR26355514","146"
"SRR26355513","575"
"SRR26355512","Other"
"SRR26355511","451"
"SRR26355510","Other"
"SRR26355509","15"
"SRR26355508","Other"
"SRR26355507","Other"
"SRR26355506","180"
"SRR26355345","180"
"SRR26355343","33"
"SRR26355342","180"
"SRR26355341","Other"
"SRR26355340","Other"
"SRR26355339","231"
"SRR26355338","556"
"SRR26355337","Other"
"SRR26355336","502"
"SRR26355335","231"
"SRR26355334","Other"
"SRR26355332","146"
"SRR26355331","180"
"SRR26355330","Other"
"SRR26355329","Other"
"SRR26355328","180"
"SRR26355327","Other"
"SRR26355326","Other"
"SRR26355325","666"
"SRR26355324","560"
"SRR26355323","146"
"SRR26355321","Other"
"SRR26355320","180"
"SRR26355319","Other"
"SRR26355318","146"
"SRR26355317","Other"
"SRR26355316","Other"
"SRR26355315","180"
"SRR26355314","Other"
"SRR26355085","Other"
"SRR26355084","231"
"SRR26355082","Other"
"SRR26355081","Other"
"SRR26355080","Other"
"SRR26355079","574"
"SRR26355078","180"
"SRR26355077","Other"
"SRR26355076","180"
"SRR26355075","Other"
"SRR26355074","180"
"SRR26355073","146"
"SRR26355071","180"
"SRR26355070","180"
"SRR26355069","Other"
"SRR26355068","556"
"SRR26355067","Other"
"SRR26355066","146"
"SRR26355065","180"
"SRR26355064","Other"
"SRR26355063","502"
"SRR26355062","Other"
"SRR26355060","Other"
"SRR26355059","Other"
"SRR26355058","Other"
"SRR26355057","451"
"SRR26355056","Other"
"SRR26355055","180"
"SRR26355054","180"
"SRR26354829","557"
"SRR26354828","502"
"SRR26354827","180"
"SRR26354825","556"
"SRR26354824","502"
"SRR26354823","451"
"SRR26354822","560"
"SRR26354821","558"
"SRR26354820","Other"
"SRR26354819","180"
"SRR26354818","180"
"SRR26354817","575"
"SRR26354816","180"
"SRR26354814","180"
"SRR26354813","Other"
"SRR26354812","681"
"SRR26354811","570"
"SRR26354810","180"
"SRR26354809","180"
"SRR26354808","146"
"SRR26354807","Other"
"SRR26354806","146"
"SRR26354805","570"
"SRR26354802","146"
"SRR26354801","574"
"SRR26354800","Other"
"SRR26354799","Other"
"SRR26354798","146"
"SRR26355505","180"
"SRR26355504","180"
"SRR26355503","Other"
"SRR26355502","180"
"SRR26355501","Other"
"SRR26355499","180"
"SRR26355498","Other"
"SRR26355497","180"
"SRR26355496","180"
"SRR26355495","146"
"SRR26355494","180"
"SRR26355493","180"
"SRR26355492","Other"
"SRR26355491","451"
"SRR26355490","231"
"SRR26355488","146"
"SRR26355487","180"
"SRR26355486","180"
"SRR26355485","Other"
"SRR26355484","Other"
"SRR26355483","180"
"SRR26355482","180"
"SRR26355481","557"
"SRR26355480","Other"
"SRR26355479","Other"
"SRR26355477","180"
"SRR26355476","Other"
"SRR26355475","146"
"SRR26355474","180"
"SRR26355313","Other"
"SRR26355312","451"
"SRR26355311","556"
"SRR26355310","15"
"SRR26355309","180"
"SRR26355308","Other"
"SRR26355306","Other"
"SRR26355305","Other"
"SRR26355304","557"
"SRR26355303","Other"
"SRR26355302","692"
"SRR26355301","562"
"SRR26355300","Other"
"SRR26355299","180"
"SRR26355298","146"
"SRR26355297","Other"
"SRR26355295","22"
"SRR26355294","Other"
"SRR26355293","Other"
"SRR26355292","557"
"SRR26355291","Other"
"SRR26355290","180"
"SRR26355289","180"
"SRR26355288","146"
"SRR26355287","146"
"SRR26355286","146"
"SRR26355284","Other"
"SRR26355283","180"
"SRR26355282","Other"
"SRR26355053","180"
"SRR26355052","180"
"SRR26355051","146"
"SRR26355050","Other"
"SRR26355049","Other"
"SRR26355048","146"
"SRR26355047","Other"
"SRR26355045","692"
"SRR26355044","26"
"SRR26355043","34"
"SRR26355042","Other"
"SRR26355041","502"
"SRR26355040","146"
"SRR26355039","146"
"SRR26355038","Other"
"SRR26355037","146"
"SRR26355036","657"
"SRR26355034","562"
"SRR26355033","Other"
"SRR26355032","180"
"SRR26355031","557"
"SRR26355030","Other"
"SRR26355029","562"
"SRR26355028","560"
"SRR26355027","146"
"SRR26355026","Other"
"SRR26355025","Other"
"SRR26355023","Other"
"SRR26355022","451"
"SRR26354797","Other"
"SRR26354796","Other"
"SRR26354795","Other"
"SRR26354794","146"
"SRR26354793","Other"
"SRR26354792","180"
"SRR26354791","146"
"SRR26354790","180"
"SRR26354787","614"
"SRR26354786","180"
"SRR26354785","Other"
"SRR26354784","Other"
"SRR26354783","180"
"SRR26354782","180"
"SRR26354781","277"
"SRR26354780","558"
"SRR26354779","Other"
"SRR26354778","557"
"SRR26354776","Other"
"SRR26354775","15"
"SRR26354774","180"
"SRR26354773","180"
"SRR26354772","146"
"SRR26354771","Other"
"SRR26354770","26"
"SRR26354769","Other"
"SRR26354768","146"
"SRR26354767","Other"
"SRR26355473","146"
"SRR26355472","180"
"SRR26355471","180"
"SRR26355470","Other"
"SRR26355469","Other"
"SRR26355468","180"
"SRR26355467","657"
"SRR26355466","26"
"SRR26355465","Other"
"SRR26355464","146"
"SRR26355462","Other"
"SRR26355461","Other"
"SRR26355460","718"
"SRR26355459","146"
"SRR26355458","Other"
"SRR26355457","502"
"SRR26355456","Other"
"SRR26355455","180"
"SRR26355454","15"
"SRR26355453","557"
"SRR26355451","718"
"SRR26355450","Other"
"SRR26355449","38"
"SRR26355448","231"
"SRR26355447","557"
"SRR26355446","Other"
"SRR26355445","Other"
"SRR26355444","Other"
"SRR26355443","556"
"SRR26355442","180"
"SRR26355280","Other"
"SRR26355279","657"
"SRR26355278","Other"
"SRR26355277","146"
"SRR26355276","180"
"SRR26355275","180"
"SRR26355274","146"
"SRR26355273","574"
"SRR26355272","231"
"SRR26355271","180"
"SRR26355269","Other"
"SRR26355268","180"
"SRR26355267","180"
"SRR26355266","277"
"SRR26355265","Other"
"SRR26355264","146"
"SRR26355263","180"
"SRR26355262","Other"
"SRR26355261","146"
"SRR26355260","180"
"SRR26355258","557"
"SRR26355257","556"
"SRR26355256","574"
"SRR26355255","146"
"SRR26355254","557"
"SRR26355253","Other"
"SRR26355252","Other"
"SRR26355251","557"
"SRR26355250","146"
"SRR26355021","502"
"SRR26355019","146"
"SRR26355018","556"
"SRR26355017","Other"
"SRR26355016","180"
"SRR26355015","180"
"SRR26355014","557"
"SRR26355013","Other"
"SRR26355012","575"
"SRR26355011","180"
"SRR26355010","557"
"SRR26355008","Other"
"SRR26355007","180"
"SRR26355006","Other"
"SRR26355005","146"
"SRR26355004","50"
"SRR26355003","230"
"SRR26355002","180"
"SRR26355001","146"
"SRR26355000","Other"
"SRR26354999","146"
"SRR26354996","231"
"SRR26354995","Other"
"SRR26354994","Other"
"SRR26354993","502"
"SRR26354992","146"
"SRR26354991","502"
"SRR26354990","26"
"SRR26354765","Other"
"SRR26354764","Other"
"SRR26354763","180"
"SRR26354761","180"
"SRR26354760","657"
"SRR26354759","Other"
"SRR26354758","Other"
"SRR26354757","146"
"SRR26354756","180"
"SRR26354755","146"
"SRR26354754","681"
"SRR26354753","557"
"SRR26354752","557"
"SRR26354750","180"
"SRR26354749","146"
"SRR26354748","180"
"SRR26354747","33"
"SRR26354746","50"
"SRR26354745","180"
"SRR26354744","502"
"SRR26354743","Other"
"SRR26354742","502"
"SRR26354741","38"
"SRR26354739","692"
"SRR26354738","557"
"SRR26355637","Other"
"SRR26355636","180"
"SRR26355635","Other"
"SRR26355634","Other"
"SRR26355249","Other"
"SRR26355248","180"
"SRR26355247","Other"
"SRR26355246","558"
"SRR26355244","146"
"SRR26355243","146"
"SRR26355242","Other"
"SRR26355241","Other"
"SRR26355240","Other"
"SRR26355239","146"
"SRR26355238","180"
"SRR26355237","562"
"SRR26355236","146"
"SRR26355235","Other"
"SRR26355233","Other"
"SRR26355232","Other"
"SRR26355231","Other"
"SRR26355230","Other"
"SRR26355229","Other"
"SRR26355228","692"
"SRR26355227","180"
"SRR26355226","557"
"SRR26355225","146"
"SRR26355224","557"
"SRR26355222","Other"
"SRR26355221","277"
"SRR26355220","Other"
"SRR26355219","Other"
"SRR26355218","Other"
"SRR26354989","Other"
"SRR26354988","180"
"SRR26354987","Other"
"SRR26354986","Other"
"SRR26354985","Other"
"SRR26354983","180"
"SRR26354982","Other"
"SRR26354981","26"
"SRR26354980","Other"
"SRR26354979","Other"
"SRR26354978","502"
"SRR26354977","180"
"SRR26354976","34"
"SRR26354975","180"
"SRR26354974","Other"
"SRR26354972","Other"
"SRR26354971","556"
"SRR26354970","26"
"SRR26354969","551"
"SRR26354968","180"
"SRR26354967","557"
"SRR26354966","26"
"SRR26354965","146"
"SRR26354964","692"
"SRR26354963","Other"
"SRR26354961","231"
"SRR26354960","146"
"SRR26354959","180"
"SRR26354958","Other"
"SRR26355633","Other"
"SRR26355632","50"
"SRR26355631","180"
"SRR26355630","574"
"SRR26355629","146"
"SRR26355628","231"
"SRR26355625","146"
"SRR26355624","180"
"SRR26355623","451"
"SRR26355622","761"
"SRR26355621","Other"
"SRR26355620","Other"
"SRR26355619","557"
"SRR26355618","180"
"SRR26355617","146"
"SRR26355616","562"
"SRR26355614","Other"
"SRR26355613","Other"
"SRR26355612","146"
"SRR26355611","557"
"SRR26355610","557"
"SRR26355609","Other"
"SRR26355608","560"
"SRR26355607","556"
"SRR26355606","15"
"SRR26355605","574"
"SRR26355603","Other"
"SRR26355602","Other"
"SRR26355441","Other"
"SRR26355440","Other"
"SRR26355439","146"
"SRR26355438","180"
"SRR26355437","Other"
"SRR26355436","Other"
"SRR26355435","574"
"SRR26355434","230"
"SRR26355432","146"
"SRR26355431","146"
"SRR26355430","Other"
"SRR26355429","33"
"SRR26355428","502"
"SRR26355427","146"
"SRR26355426","Other"
"SRR26355425","Other"
"SRR26355424","681"
"SRR26355423","556"
"SRR26355421","614"
"SRR26355420","180"
"SRR26355419","146"
"SRR26355418","562"
"SRR26355417","146"
"SRR26355416","180"
"SRR26355415","180"
"SRR26355414","773"
"SRR26355413","Other"
"SRR26355412","Other"
"SRR26355410","180"
"SRR26355217","Other"
"SRR26355216","761"
"SRR26355215","146"
"SRR26355214","557"
"SRR26355213","146"
"SRR26355212","556"
"SRR26355211","Other"
"SRR26355210","Other"
"SRR26355209","Other"
"SRR26355207","180"
"SRR26355206","230"
"SRR26355205","557"
"SRR26355204","146"
"SRR26355203","26"
"SRR26355202","562"
"SRR26355201","146"
"SRR26355200","502"
"SRR26355199","180"
"SRR26355198","180"
"SRR26355196","180"
"SRR26355195","Other"
"SRR26355194","Other"
"SRR26355193","180"
"SRR26355192","Other"
"SRR26355191","Other"
"SRR26355190","Other"
"SRR26355189","180"
"SRR26355188","180"
"SRR26355187","146"
"SRR26354957","574"
"SRR26354956","Other"
"SRR26354955","146"
"SRR26354954","Other"
"SRR26354953","Other"
"SRR26354952","Other"
"SRR26354951","Other"
"SRR26354950","Other"
"SRR26354949","155"
"SRR26354948","Other"
"SRR26354946","50"
"SRR26354945","Other"
"SRR26354944","570"
"SRR26354943","Other"
"SRR26354942","Other"
"SRR26354941","560"
"SRR26354940","Other"
"SRR26354939","614"
"SRR26354938","560"
"SRR26354937","Other"
"SRR26354173","180"
"SRR26354172","Other"
"SRR26354157","560"
"SRR26353854","Other"
"SRR26353839","Other"
"SRR26354644","557"
"SRR26354629","Other"
"SRR26353986","Other"
"SRR26354419","657"
"SRR26354520","Other"
"SRR26354171","230"
"SRR26353936","Other"
"SRR26353925","502"
"SRR26353914","Other"
"SRR26354383","Other"
"SRR26354372","180"
"SRR26354733","146"
"SRR26354722","Other"
"SRR26354711","180"
"SRR26354168","Other"
"SRR26354156","180"
"SRR26354145","180"
"SRR26353910","180"
"SRR26353899","Other"
"SRR26353888","Other"
"SRR26354357","180"
"SRR26354346","Other"
"SRR26354335","50"
"SRR26353876","146"
"SRR26353865","14"
"SRR26353853","Other"
"SRR26354130","Other"
"SRR26354119","557"
"SRR26354108","Other"
"SRR26354097","146"
"SRR26354086","146"
"SRR26354075","Other"
"SRR26354692","Other"
"SRR26354681","180"
"SRR26354670","Other"
"SRR26353838","180"
"SRR26354499","50"
"SRR26354072","Other"
"SRR26354061","502"
"SRR26354050","180"
"SRR26354327","574"
"SRR26354316","Other"
"SRR26354305","Other"
"SRR26354666","26"
"SRR26354655","Other"
"SRR26354643","180"
"SRR26354036","Other"
"SRR26354025","Other"
"SRR26354014","Other"
"SRR26354483","Other"
"SRR26354472","146"
"SRR26354461","570"
"SRR26354290","557"
"SRR26354279","180"
"SRR26354268","146"
"SRR26354628","Other"
"SRR26354617","557"
"SRR26354606","560"
"SRR26354255","15"
"SRR26354244","14"
"SRR26354457","Other"
"SRR26354446","570"
"SRR26354435","146"
"SRR26354008","146"
"SRR26353997","Other"
"SRR26353985","557"
"SRR26354602","562"
"SRR26354591","Other"
"SRR26354580","146"
"SRR26354229","Other"
"SRR26354218","146"
"SRR26354207","Other"
"SRR26354568","180"
"SRR26354557","Other"
"SRR26354546","146"
"SRR26354418","Other"
"SRR26354407","Other"
"SRR26354396","Other"
"SRR26353969","33"
"SRR26353958","557"
"SRR26353947","180"
"SRR26354192","556"
"SRR26354181","180"
"SRR26354734","556"
"SRR26354531","Other"
"SRR26354519","26"
"SRR26354518","Other"
"SRR26354517","Other"
"SRR26354516","Other"
"SRR26354515","574"
"SRR26354514","574"
"SRR26354513","146"
"SRR26354512","230"
"SRR26354511","180"
"SRR26354510","666"
"SRR26354170","180"
"SRR26353945","Other"
"SRR26353944","Other"
"SRR26353943","146"
"SRR26353942","146"
"SRR26353941","Other"
"SRR26353940","180"
"SRR26353939","Other"
"SRR26353938","Other"
"SRR26353937","180"
"SRR26353935","574"
"SRR26353934","Other"
"SRR26353933","Other"
"SRR26353932","146"
"SRR26353931","575"
"SRR26353930","557"
"SRR26353929","146"
"SRR26353928","231"
"SRR26353927","Other"
"SRR26353926","146"
"SRR26353924","451"
"SRR26353923","574"
"SRR26353922","Other"
"SRR26353921","818"
"SRR26353920","562"
"SRR26353919","26"
"SRR26353918","180"
"SRR26353917","146"
"SRR26353916","Other"
"SRR26353915","Other"
"SRR26354393","180"
"SRR26354392","557"
"SRR26354391","180"
"SRR26354390","180"
"SRR26354389","146"
"SRR26354388","Other"
"SRR26354387","557"
"SRR26354386","180"
"SRR26354385","180"
"SRR26354384","Other"
"SRR26354382","146"
"SRR26354381","Other"
"SRR26354380","Other"
"SRR26354379","575"
"SRR26354378","26"
"SRR26354377","557"
"SRR26354376","557"
"SRR26354375","666"
"SRR26354374","Other"
"SRR26354373","557"
"SRR26354371","Other"
"SRR26354370","556"
"SRR26354369","Other"
"SRR26354368","180"
"SRR26354367","Other"
"SRR26354366","Other"
"SRR26354365","180"
"SRR26354364","Other"
"SRR26354363","Other"
"SRR26354362","Other"
"SRR26354732","Other"
"SRR26354731","562"
"SRR26354730","Other"
"SRR26354729","560"
"SRR26354728","Other"
"SRR26354727","146"
"SRR26354726","560"
"SRR26354725","557"
"SRR26354724","180"
"SRR26354723","Other"
"SRR26354721","560"
"SRR26354720","551"
"SRR26354719","Other"
"SRR26354718","562"
"SRR26354717","Other"
"SRR26354716","Other"
"SRR26354715","575"
"SRR26354714","180"
"SRR26354713","551"
"SRR26354712","180"
"SRR26354710","666"
"SRR26354709","562"
"SRR26354708","15"
"SRR26354707","146"
"SRR26354706","180"
"SRR26354705","146"
"SRR26354704","230"
"SRR26354703","231"
"SRR26354702","Other"
"SRR26354169","Other"
"SRR26354167","Other"
"SRR26354166","146"
"SRR26354165","Other"
"SRR26354164","718"
"SRR26354163","Other"
"SRR26354162","146"
"SRR26354161","Other"
"SRR26354160","180"
"SRR26354159","146"
"SRR26354158","761"
"SRR26354155","557"
"SRR26354154","146"
"SRR26354153","146"
"SRR26354152","180"
"SRR26354151","Other"
"SRR26354150","146"
"SRR26354149","Other"
"SRR26354148","Other"
"SRR26354147","Other"
"SRR26354146","146"
"SRR26354144","146"
"SRR26354143","556"
"SRR26354142","Other"
"SRR26354141","558"
"SRR26354140","146"
"SRR26354139","Other"
"SRR26354138","180"
"SRR26353913","Other"
"SRR26353912","Other"
"SRR26353911","146"
"SRR26353909","230"
"SRR26353908","557"
"SRR26353907","180"
"SRR26353906","Other"
"SRR26353905","146"
"SRR26353904","180"
"SRR26353903","551"
"SRR26353902","761"
"SRR26353901","180"
"SRR26353900","180"
"SRR26353898","840"
"SRR26353897","180"
"SRR26353896","Other"
"SRR26353895","26"
"SRR26353894","557"
"SRR26353893","146"
"SRR26353892","Other"
"SRR26353891","Other"
"SRR26353890","155"
"SRR26353889","718"
"SRR26353887","560"
"SRR26353886","560"
"SRR26353885","26"
"SRR26353884","22"
"SRR26353883","Other"
"SRR26353882","718"
"SRR26354361","844"
"SRR26354360","180"
"SRR26354359","718"
"SRR26354358","616"
"SRR26354356","146"
"SRR26354355","Other"
"SRR26354354","180"
"SRR26354353","557"
"SRR26354352","Other"
"SRR26354351","146"
"SRR26354350","Other"
"SRR26354349","502"
"SRR26354348","451"
"SRR26354347","Other"
"SRR26354345","451"
"SRR26354344","Other"
"SRR26354343","180"
"SRR26354342","Other"
"SRR26354341","Other"
"SRR26354340","718"
"SRR26354339","560"
"SRR26354338","718"
"SRR26354337","Other"
"SRR26354336","Other"
"SRR26354334","844"
"SRR26354333","Other"
"SRR26354332","180"
"SRR26354331","22"
"SRR26354330","Other"
"SRR26353881","180"
"SRR26353880","180"
"SRR26353879","180"
"SRR26353878","146"
"SRR26353877","33"
"SRR26353875","Other"
"SRR26353874","Other"
"SRR26353873","180"
"SRR26353872","Other"
"SRR26353871","Other"
"SRR26353870","146"
"SRR26353869","Other"
"SRR26353868","Other"
"SRR26353867","551"
"SRR26353866","Other"
"SRR26353864","844"
"SRR26353863","146"
"SRR26353862","180"
"SRR26353861","557"
"SRR26353860","567"
"SRR26353859","146"
"SRR26353858","Other"
"SRR26353857","844"
"SRR26353856","Other"
"SRR26353855","718"
"SRR26353852","180"
"SRR26353851","562"
"SRR26353850","Other"
"SRR26354137","Other"
"SRR26354136","22"
"SRR26354135","180"
"SRR26354134","Other"
"SRR26354133","502"
"SRR26354132","15"
"SRR26354131","180"
"SRR26354129","180"
"SRR26354128","180"
"SRR26354127","180"
"SRR26354126","146"
"SRR26354125","180"
"SRR26354124","681"
"SRR26354123","180"
"SRR26354122","180"
"SRR26354121","Other"
"SRR26354120","Other"
"SRR26354118","146"
"SRR26354117","Other"
"SRR26354116","557"
"SRR26354115","557"
"SRR26354114","146"
"SRR26354113","33"
"SRR26354112","502"
"SRR26354111","451"
"SRR26354110","844"
"SRR26354109","Other"
"SRR26354107","Other"
"SRR26354106","146"
"SRR26354105","180"
"SRR26354104","Other"
"SRR26354103","Other"
"SRR26354102","Other"
"SRR26354101","180"
"SRR26354100","557"
"SRR26354099","180"
"SRR26354098","146"
"SRR26354096","666"
"SRR26354095","180"
"SRR26354094","560"
"SRR26354093","180"
"SRR26354092","146"
"SRR26354091","146"
"SRR26354090","180"
"SRR26354089","180"
"SRR26354088","180"
"SRR26354087","Other"
"SRR26354085","Other"
"SRR26354084","556"
"SRR26354083","180"
"SRR26354082","681"
"SRR26354081","146"
"SRR26354080","180"
"SRR26354079","844"
"SRR26354078","Other"
"SRR26354077","560"
"SRR26354076","761"
"SRR26354074","666"
"SRR26354701","146"
"SRR26354700","Other"
"SRR26354699","180"
"SRR26354698","230"
"SRR26354697","180"
"SRR26354696","180"
"SRR26354695","146"
"SRR26354694","Other"
"SRR26354693","146"
"SRR26354691","146"
"SRR26354690","Other"
"SRR26354689","26"
"SRR26354688","Other"
"SRR26354687","146"
"SRR26354686","146"
"SRR26354685","33"
"SRR26354684","557"
"SRR26354683","Other"
"SRR26354682","Other"
"SRR26354680","180"
"SRR26354679","38"
"SRR26354678","146"
"SRR26354677","Other"
"SRR26354676","616"
"SRR26354675","146"
"SRR26354674","146"
"SRR26354673","Other"
"SRR26354672","146"
"SRR26354671","180"
"SRR26353849","556"
"SRR26353848","Other"
"SRR26353847","Other"
"SRR26353846","146"
"SRR26353845","26"
"SRR26353844","562"
"SRR26353843","146"
"SRR26353842","180"
"SRR26353841","502"
"SRR26353840","180"
"SRR26354509","557"
"SRR26354508","557"
"SRR26354507","146"
"SRR26354506","560"
"SRR26354505","231"
"SRR26354504","180"
"SRR26354503","33"
"SRR26354502","180"
"SRR26354501","818"
"SRR26354500","681"
"SRR26354498","Other"
"SRR26354497","146"
"SRR26354496","Other"
"SRR26354495","50"
"SRR26354494","Other"
"SRR26354493","773"
"SRR26354492","557"
"SRR26354491","Other"
"SRR26354490","718"
"SRR26354073","Other"
"SRR26354071","180"
"SRR26354070","557"
"SRR26354069","844"
"SRR26354068","570"
"SRR26354067","146"
"SRR26354066","Other"
"SRR26354065","146"
"SRR26354064","761"
"SRR26354063","146"
"SRR26354062","230"
"SRR26354060","Other"
"SRR26354059","Other"
"SRR26354058","146"
"SRR26354057","557"
"SRR26354056","Other"
"SRR26354055","Other"
"SRR26354054","840"
"SRR26354053","451"
"SRR26354052","146"
"SRR26354051","146"
"SRR26354049","Other"
"SRR26354048","180"
"SRR26354047","146"
"SRR26354046","180"
"SRR26354045","Other"
"SRR26354044","761"
"SRR26354043","26"
"SRR26354042","180"
"SRR26354329","844"
"SRR26354328","Other"
"SRR26354326","Other"
"SRR26354325","Other"
"SRR26354324","557"
"SRR26354323","Other"
"SRR26354322","146"
"SRR26354321","15"
"SRR26354320","Other"
"SRR26354319","557"
"SRR26354318","Other"
"SRR26354317","574"
"SRR26354315","879"
"SRR26354314","844"
"SRR26354313","146"
"SRR26354312","Other"
"SRR26354311","Other"
"SRR26354310","Other"
"SRR26354309","Other"
"SRR26354308","180"
"SRR26354307","718"
"SRR26354306","146"
"SRR26354304","Other"
"SRR26354303","Other"
"SRR26354302","Other"
"SRR26354301","502"
"SRR26354300","Other"
"SRR26354299","Other"
"SRR26354298","Other"
"SRR26354669","557"
"SRR26354668","Other"
"SRR26354667","146"
"SRR26354665","Other"
"SRR26354664","38"
"SRR26354663","Other"
"SRR26354662","50"
"SRR26354661","33"
"SRR26354660","451"
"SRR26354659","574"
"SRR26354658","844"
"SRR26354657","146"
"SRR26354656","180"
"SRR26354654","146"
"SRR26354653","557"
"SRR26354652","614"
"SRR26354651","15"
"SRR26354650","Other"
"SRR26354649","Other"
"SRR26354648","180"
"SRR26354647","Other"
"SRR26354646","180"
"SRR26354645","Other"
"SRR26354642","567"
"SRR26354641","574"
"SRR26354640","Other"
"SRR26354639","451"
"SRR26354638","Other"
"SRR26354041","146"
"SRR26354040","Other"
"SRR26354039","Other"
"SRR26354038","Other"
"SRR26354037","Other"
"SRR26354035","Other"
"SRR26354034","146"
"SRR26354033","567"
"SRR26354032","180"
"SRR26354031","666"
"SRR26354030","180"
"SRR26354029","146"
"SRR26354028","146"
"SRR26354027","146"
"SRR26354026","15"
"SRR26354024","Other"
"SRR26354023","761"
"SRR26354022","Other"
"SRR26354021","Other"
"SRR26354020","575"
"SRR26354019","Other"
"SRR26354018","Other"
"SRR26354017","898"
"SRR26354016","557"
"SRR26354015","146"
"SRR26354013","146"
"SRR26354012","557"
"SRR26354011","Other"
"SRR26354010","50"
"SRR26354489","180"
"SRR26354488","180"
"SRR26354487","180"
"SRR26354486","180"
"SRR26354485","Other"
"SRR26354484","Other"
"SRR26354482","180"
"SRR26354481","180"
"SRR26354480","840"
"SRR26354479","146"
"SRR26354478","146"
"SRR26354477","180"
"SRR26354476","557"
"SRR26354475","180"
"SRR26354474","Other"
"SRR26354473","773"
"SRR26354471","Other"
"SRR26354470","180"
"SRR26354469","Other"
"SRR26354468","180"
"SRR26354467","146"
"SRR26354466","Other"
"SRR26354465","146"
"SRR26354464","Other"
"SRR26354463","146"
"SRR26354462","146"
"SRR26354460","761"
"SRR26354459","Other"
"SRR26354458","575"
"SRR26354297","26"
"SRR26354296","146"
"SRR26354295","557"
"SRR26354294","146"
"SRR26354293","146"
"SRR26354292","557"
"SRR26354291","560"
"SRR26354289","180"
"SRR26354288","557"
"SRR26354287","38"
"SRR26354286","180"
"SRR26354285","Other"
"SRR26354284","567"
"SRR26354283","844"
"SRR26354282","Other"
"SRR26354281","Other"
"SRR26354280","38"
"SRR26354278","Other"
"SRR26354277","Other"
"SRR26354276","38"
"SRR26354275","Other"
"SRR26354274","231"
"SRR26354273","146"
"SRR26354272","146"
"SRR26354271","502"
"SRR26354270","502"
"SRR26354269","Other"
"SRR26354267","146"
"SRR26354266","146"
"SRR26354637","567"
"SRR26354636","146"
"SRR26354635","557"
"SRR26354634","180"
"SRR26354633","180"
"SRR26354632","Other"
"SRR26354631","844"
"SRR26354630","180"
"SRR26354627","570"
"SRR26354626","718"
"SRR26354625","180"
"SRR26354624","761"
"SRR26354623","567"
"SRR26354622","146"
"SRR26354621","146"
"SRR26354620","146"
"SRR26354619","Other"
"SRR26354618","614"
"SRR26354616","180"
"SRR26354615","146"
"SRR26354614","Other"
"SRR26354613","146"
"SRR26354612","146"
"SRR26354611","Other"
"SRR26354610","Other"
"SRR26354609","277"
"SRR26354608","146"
"SRR26354607","Other"
"SRR26354265","231"
"SRR26354264","Other"
"SRR26354263","Other"
"SRR26354262","146"
"SRR26354261","180"
"SRR26354260","146"
"SRR26354259","Other"
"SRR26354258","557"
"SRR26354257","Other"
"SRR26354256","502"
"SRR26354254","146"
